year,group,age,rate
2012,Male: Black or African American: 25-44 years,25-44 years,15.3
2013,Male: Black or African American: 25-44 years,25-44 years,14.4
2014,Male: Black or African American: 25-44 years,25-44 years,14.4
2015,Male: Black or African American: 25-44 years,25-44 years,14.8
2016,Male: Black or African American: 25-44 years,25-44 years,16.4
2017,Male: Black or African American: 25-44 years,25-44 years,17.6
2018,Male: Black or African American: 25-44 years,25-44 years,18.6
1950,Male: Black or African American: 45-64 years,45-64 years,12.7
1960,Male: Black or African American: 45-64 years,45-64 years,13.0
1970,Male: Black or African American: 45-64 years,45-64 years,12.4
1980,Male: Black or African American: 45-64 years,45-64 years,11.8
1981,Male: Black or African American: 45-64 years,45-64 years,12.3
1982,Male: Black or African American: 45-64 years,45-64 years,11.7
1983,Male: Black or African American: 45-64 years,45-64 years,12.1
1984,Male: Black or African American: 45-64 years,45-64 years,12.7
1985,Male: Black or African American: 45-64 years,45-64 years,12.9
1986,Male: Black or African American: 45-64 years,45-64 years,11.9
1987,Male: Black or African American: 45-64 years,45-64 years,12.2
1988,Male: Black or African American: 45-64 years,45-64 years,11.8
1989,Male: Black or African American: 45-64 years,45-64 years,11.2
1990,Male: Black or African American: 45-64 years,45-64 years,13.1
1991,Male: Black or African American: 45-64 years,45-64 years,13.6
1992,Male: Black or African American: 45-64 years,45-64 years,11.3
1993,Male: Black or African American: 45-64 years,45-64 years,12.1
1994,Male: Black or African American: 45-64 years,45-64 years,10.1
1995,Male: Black or African American: 45-64 years,45-64 years,11.5
1996,Male: Black or African American: 45-64 years,45-64 years,11.4
1997,Male: Black or African American: 45-64 years,45-64 years,10.1
1998,Male: Black or African American: 45-64 years,45-64 years,10.7
1999,Male: Black or African American: 45-64 years,45-64 years,9.7
2000,Male: Black or African American: 45-64 years,45-64 years,9.9
2001,Male: Black or African American: 45-64 years,45-64 years,9.6
2002,Male: Black or African American: 45-64 years,45-64 years,9.4
2003,Male: Black or African American: 45-64 years,45-64 years,8.8
2004,Male: Black or African American: 45-64 years,45-64 years,9.8
2005,Male: Black or African American: 45-64 years,45-64 years,9.1
2006,Male: Black or African American: 45-64 years,45-64 years,9.5
2007,Male: Black or African American: 45-64 years,45-64 years,9.0
2008,Male: Black or African American: 45-64 years,45-64 years,9.8
2009,Male: Black or African American: 45-64 years,45-64 years,9.6
2010,Male: Black or African American: 45-64 years,45-64 years,9.5
2011,Male: Black or African American: 45-64 years,45-64 years,9.5
2012,Male: Black or African American: 45-64 years,45-64 years,9.6
2013,Male: Black or African American: 45-64 years,45-64 years,10.0
2014,Male: Black or African American: 45-64 years,45-64 years,9.9
2015,Male: Black or African American: 45-64 years,45-64 years,9.7
2016,Male: Black or African American: 45-64 years,45-64 years,9.6
2017,Male: Black or African American: 45-64 years,45-64 years,10.4
2018,Male: Black or African American: 45-64 years,45-64 years,11.3
2018,Male: Black or African American: 45-64 years,45-64 years,18.9
1950,Male: Black or African American: 65 years and over,65 years and over,9.0
1960,Male: Black or African American: 65 years and over,65 years and over,9.9
1970,Male: Black or African American: 65 years and over,65 years and over,8.7
1980,Male: Black or African American: 65 years and over,65 years and over,11.4
1981,Male: Black or African American: 65 years and over,65 years and over,12.2
1982,Male: Black or African American: 65 years and over,65 years and over,12.3
1983,Male: Black or African American: 65 years and over,65 years and over,14.4
1984,Male: Black or African American: 65 years and over,65 years and over,14.4
1985,Male: Black or African American: 65 years and over,65 years and over,15.8
1986,Male: Black or African American: 65 years and over,65 years and over,17.0
1987,Male: Black or African American: 65 years and over,65 years and over,19.3
1988,Male: Black or African American: 65 years and over,65 years and over,14.9
1989,Male: Black or African American: 65 years and over,65 years and over,16.9
1990,Male: Black or African American: 65 years and over,65 years and over,14.9
1991,Male: Black or African American: 65 years and over,65 years and over,16.4
1992,Male: Black or African American: 65 years and over,65 years and over,14.2
1993,Male: Black or African American: 65 years and over,65 years and over,13.3
1994,Male: Black or African American: 65 years and over,65 years and over,15.6
1995,Male: Black or African American: 65 years and over,65 years and over,14.6
1996,Male: Black or African American: 65 years and over,65 years and over,12.9
1997,Male: Black or African American: 65 years and over,65 years and over,14.0
1998,Male: Black or African American: 65 years and over,65 years and over,12.0
1999,Male: Black or African American: 65 years and over,65 years and over,12.6
2000,Male: Black or African American: 65 years and over,65 years and over,11.5
2001,Male: Black or African American: 65 years and over,65 years and over,11.5
2002,Male: Black or African American: 65 years and over,65 years and over,11.7
2003,Male: Black or African American: 65 years and over,65 years and over,9.2
2004,Male: Black or African American: 65 years and over,65 years and over,11.3
2005,Male: Black or African American: 65 years and over,65 years and over,10.2
2006,Male: Black or African American: 65 years and over,65 years and over,10.3
2007,Male: Black or African American: 65 years and over,65 years and over,8.5
2008,Male: Black or African American: 65 years and over,65 years and over,10.8
2009,Male: Black or African American: 65 years and over,65 years and over,9.6
2010,Male: Black or African American: 65 years and over,65 years and over,8.3
2011,Male: Black or African American: 65 years and over,65 years and over,9.4
2012,Male: Black or African American: 65 years and over,65 years and over,9.6
2013,Male: Black or African American: 65 years and over,65 years and over,8.4
2014,Male: Black or African American: 65 years and over,65 years and over,8.9
2015,Male: Black or African American: 65 years and over,65 years and over,8.6
2016,Male: Black or African American: 65 years and over,65 years and over,8.7
2017,Male: Black or African American: 65 years and over,65 years and over,8.7
2018,Male: Black or African American: 65 years and over,65 years and over,8.7
2018,Male: Black or African American: 65 years and over,65 years and over,12.6
1950,Male: Black or African American: 65-74 years,65-74 years,10.0
1960,Male: Black or African American: 65-74 years,65-74 years,11.3
1970,Male: Black or African American: 65-74 years,65-74 years,8.7
1980,Male: Black or African American: 65-74 years,65-74 years,11.1
1981,Male: Black or African American: 65-74 years,65-74 years,9.6
1982,Male: Black or African American: 65-74 years,65-74 years,12.0
1983,Male: Black or African American: 65-74 years,65-74 years,14.0
1984,Male: Black or African American: 65-74 years,65-74 years,14.4
1985,Male: Black or African American: 65-74 years,65-74 years,16.7
1986,Male: Black or African American: 65-74 years,65-74 years,17.3
1987,Male: Black or African American: 65-74 years,65-74 years,19.1
1988,Male: Black or African American: 65-74 years,65-74 years,14.1
1989,Male: Black or African American: 65-74 years,65-74 years,17.1
1990,Male: Black or African American: 65-74 years,65-74 years,14.7
1991,Male: Black or African American: 65-74 years,65-74 years,13.9
1992,Male: Black or African American: 65-74 years,65-74 years,11.9
1993,Male: Black or African American: 65-74 years,65-74 years,11.9
1994,Male: Black or African American: 65-74 years,65-74 years,15.3
1995,Male: Black or African American: 65-74 years,65-74 years,13.8
1996,Male: Black or African American: 65-74 years,65-74 years,13.1
1997,Male: Black or African American: 65-74 years,65-74 years,13.3
1998,Male: Black or African American: 65-74 years,65-74 years,11.9
1999,Male: Black or African American: 65-74 years,65-74 years,11.8
2000,Male: Black or African American: 65-74 years,65-74 years,11.1
2001,Male: Black or African American: 65-74 years,65-74 years,10.6
2002,Male: Black or African American: 65-74 years,65-74 years,9.5
2003,Male: Black or African American: 65-74 years,65-74 years,8.1
2004,Male: Black or African American: 65-74 years,65-74 years,9.5
2005,Male: Black or African American: 65-74 years,65-74 years,8.1
2006,Male: Black or African American: 65-74 years,65-74 years,8.4
2007,Male: Black or African American: 65-74 years,65-74 years,7.9
2008,Male: Black or African American: 65-74 years,65-74 years,10.4
2009,Male: Black or African American: 65-74 years,65-74 years,8.0
2010,Male: Black or African American: 65-74 years,65-74 years,7.6
2011,Male: Black or African American: 65-74 years,65-74 years,9.1
2012,Male: Black or African American: 65-74 years,65-74 years,8.4
2013,Male: Black or African American: 65-74 years,65-74 years,7.8
2014,Male: Black or African American: 65-74 years,65-74 years,7.7
2015,Male: Black or African American: 65-74 years,65-74 years,7.3
2016,Male: Black or African American: 65-74 years,65-74 years,8.0
2017,Male: Black or African American: 65-74 years,65-74 years,8.6
2018,Male: Black or African American: 65-74 years,65-74 years,7.7
1980,Male: Black or African American: 75-84 years,75-84 years,10.5
1981,Male: Black or African American: 75-84 years,75-84 years,18.3
1982,Male: Black or African American: 75-84 years,75-84 years,12.4
1983,Male: Black or African American: 75-84 years,75-84 years,15.8
1984,Male: Black or African American: 75-84 years,75-84 years,15.1
1985,Male: Black or African American: 75-84 years,75-84 years,15.6
1986,Male: Black or African American: 75-84 years,75-84 years,16.0
1987,Male: Black or African American: 75-84 years,75-84 years,21.0
1988,Male: Black or African American: 75-84 years,75-84 years,17.7
1989,Male: Black or African American: 75-84 years,75-84 years,14.9
1990,Male: Black or African American: 75-84 years,75-84 years,14.4
1991,Male: Black or African American: 75-84 years,75-84 years,21.8
1992,Male: Black or African American: 75-84 years,75-84 years,18.7
1993,Male: Black or African American: 75-84 years,75-84 years,16.4
1994,Male: Black or African American: 75-84 years,75-84 years,15.1
1995,Male: Black or African American: 75-84 years,75-84 years,16.7
1996,Male: Black or African American: 75-84 years,75-84 years,12.7
1997,Male: Black or African American: 75-84 years,75-84 years,14.3
1998,Male: Black or African American: 75-84 years,75-84 years,12.8
1999,Male: Black or African American: 75-84 years,75-84 years,13.8
2000,Male: Black or African American: 75-84 years,75-84 years,12.1
2001,Male: Black or African American: 75-84 years,75-84 years,13.5
2002,Male: Black or African American: 75-84 years,75-84 years,13.8
2003,Male: Black or African American: 75-84 years,75-84 years,11.3
2004,Male: Black or African American: 75-84 years,75-84 years,15.1
2005,Male: Black or African American: 75-84 years,75-84 years,12.9
2006,Male: Black or African American: 75-84 years,75-84 years,11.6
2007,Male: Black or African American: 75-84 years,75-84 years,11.2
2008,Male: Black or African American: 75-84 years,75-84 years,11.8
2009,Male: Black or African American: 75-84 years,75-84 years,11.9
2010,Male: Black or African American: 75-84 years,75-84 years,9.9
2011,Male: Black or African American: 75-84 years,75-84 years,8.4
2012,Male: Black or African American: 75-84 years,75-84 years,12.5
2013,Male: Black or African American: 75-84 years,75-84 years,9.1
2014,Male: Black or African American: 75-84 years,75-84 years,11.0
2015,Male: Black or African American: 75-84 years,75-84 years,11.2
2016,Male: Black or African American: 75-84 years,75-84 years,10.6
2017,Male: Black or African American: 75-84 years,75-84 years,8.8
2018,Male: Black or African American: 75-84 years,75-84 years,10.7
1980,Male: American Indian or Alaska Native: 15-24 years,15-24 years,45.3
1985,Male: American Indian or Alaska Native: 15-24 years,15-24 years,42.0
1988,Male: American Indian or Alaska Native: 15-24 years,15-24 years,41.8
1989,Male: American Indian or Alaska Native: 15-24 years,15-24 years,43.7
1990,Male: American Indian or Alaska Native: 15-24 years,15-24 years,49.1
1991,Male: American Indian or Alaska Native: 15-24 years,15-24 years,37.1
1992,Male: American Indian or Alaska Native: 15-24 years,15-24 years,39.1
1993,Male: American Indian or Alaska Native: 15-24 years,15-24 years,29.7
1994,Male: American Indian or Alaska Native: 15-24 years,15-24 years,42.1
1995,Male: American Indian or Alaska Native: 15-24 years,15-24 years,30.8
1996,Male: American Indian or Alaska Native: 15-24 years,15-24 years,28.9
1997,Male: American Indian or Alaska Native: 15-24 years,15-24 years,33.8
1998,Male: American Indian or Alaska Native: 15-24 years,15-24 years,36.0
1999,Male: American Indian or Alaska Native: 15-24 years,15-24 years,30.8
2000,Male: American Indian or Alaska Native: 15-24 years,15-24 years,26.2
2001,Male: American Indian or Alaska Native: 15-24 years,15-24 years,23.8
2002,Male: American Indian or Alaska Native: 15-24 years,15-24 years,26.3
2003,Male: American Indian or Alaska Native: 15-24 years,15-24 years,25.1
2004,Male: American Indian or Alaska Native: 15-24 years,15-24 years,27.6
2005,Male: American Indian or Alaska Native: 15-24 years,15-24 years,28.6
2006,Male: American Indian or Alaska Native: 15-24 years,15-24 years,30.6
2007,Male: American Indian or Alaska Native: 15-24 years,15-24 years,26.8
2008,Male: American Indian or Alaska Native: 15-24 years,15-24 years,29.0
2009,Male: American Indian or Alaska Native: 15-24 years,15-24 years,28.9
2010,Male: American Indian or Alaska Native: 15-24 years,15-24 years,30.6
2011,Male: American Indian or Alaska Native: 15-24 years,15-24 years,27.6
2012,Male: American Indian or Alaska Native: 15-24 years,15-24 years,29.3
2013,Male: American Indian or Alaska Native: 15-24 years,15-24 years,29.1
2014,Male: American Indian or Alaska Native: 15-24 years,15-24 years,23.5
2015,Male: American Indian or Alaska Native: 15-24 years,15-24 years,29.5
2016,Male: American Indian or Alaska Native: 15-24 years,15-24 years,32.6
2017,Male: American Indian or Alaska Native: 15-24 years,15-24 years,32.9
2018,Male: American Indian or Alaska Native: 15-24 years,15-24 years,36.2
1980,Male: American Indian or Alaska Native: 25-44 years,25-44 years,31.2
1985,Male: American Indian or Alaska Native: 25-44 years,25-44 years,30.2
1988,Male: American Indian or Alaska Native: 25-44 years,25-44 years,27.9
1989,Male: American Indian or Alaska Native: 25-44 years,25-44 years,30.6
1990,Male: American Indian or Alaska Native: 25-44 years,25-44 years,27.8
1991,Male: American Indian or Alaska Native: 25-44 years,25-44 years,26.9
1992,Male: American Indian or Alaska Native: 25-44 years,25-44 years,24.0
1993,Male: American Indian or Alaska Native: 25-44 years,25-44 years,29.4
1994,Male: American Indian or Alaska Native: 25-44 years,25-44 years,35.8
1995,Male: American Indian or Alaska Native: 25-44 years,25-44 years,29.1
1996,Male: American Indian or Alaska Native: 25-44 years,25-44 years,31.5
1997,Male: American Indian or Alaska Native: 25-44 years,25-44 years,29.0
1998,Male: American Indian or Alaska Native: 25-44 years,25-44 years,28.8
1999,Male: American Indian or Alaska Native: 25-44 years,25-44 years,25.1
2000,Male: American Indian or Alaska Native: 25-44 years,25-44 years,24.5
2001,Male: American Indian or Alaska Native: 25-44 years,25-44 years,27.3
2002,Male: American Indian or Alaska Native: 25-44 years,25-44 years,26.2
2003,Male: American Indian or Alaska Native: 25-44 years,25-44 years,28.9
2004,Male: American Indian or Alaska Native: 25-44 years,25-44 years,29.0
2005,Male: American Indian or Alaska Native: 25-44 years,25-44 years,27.0
2006,Male: American Indian or Alaska Native: 25-44 years,25-44 years,23.3
2007,Male: American Indian or Alaska Native: 25-44 years,25-44 years,24.9
2008,Male: American Indian or Alaska Native: 25-44 years,25-44 years,22.7
2009,Male: American Indian or Alaska Native: 25-44 years,25-44 years,20.4
2010,Male: American Indian or Alaska Native: 25-44 years,25-44 years,20.9
2011,Male: American Indian or Alaska Native: 25-44 years,25-44 years,24.2
2012,Male: American Indian or Alaska Native: 25-44 years,25-44 years,24.3
2013,Male: American Indian or Alaska Native: 25-44 years,25-44 years,26.6
2014,Male: American Indian or Alaska Native: 25-44 years,25-44 years,26.2
2015,Male: American Indian or Alaska Native: 25-44 years,25-44 years,27.3
2016,Male: American Indian or Alaska Native: 25-44 years,25-44 years,33.6
2017,Male: American Indian or Alaska Native: 25-44 years,25-44 years,32.2
2018,Male: American Indian or Alaska Native: 25-44 years,25-44 years,33.9
1988,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.4
1991,Male: American Indian or Alaska Native: 45-64 years,45-64 years,16.3
1993,Male: American Indian or Alaska Native: 45-64 years,45-64 years,12.2
1994,Male: American Indian or Alaska Native: 45-64 years,45-64 years,13.8
1995,Male: American Indian or Alaska Native: 45-64 years,45-64 years,13.6
1996,Male: American Indian or Alaska Native: 45-64 years,45-64 years,10.3
1997,Male: American Indian or Alaska Native: 45-64 years,45-64 years,13.5
1998,Male: American Indian or Alaska Native: 45-64 years,45-64 years,9.5
1999,Male: American Indian or Alaska Native: 45-64 years,45-64 years,13.2
2000,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.4
2001,Male: American Indian or Alaska Native: 45-64 years,45-64 years,17.0
2002,Male: American Indian or Alaska Native: 45-64 years,45-64 years,14.0
2003,Male: American Indian or Alaska Native: 45-64 years,45-64 years,9.2
2004,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.3
2005,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.6
2006,Male: American Indian or Alaska Native: 45-64 years,45-64 years,16.5
2007,Male: American Indian or Alaska Native: 45-64 years,45-64 years,14.4
2008,Male: American Indian or Alaska Native: 45-64 years,45-64 years,11.1
2009,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.4
2010,Male: American Indian or Alaska Native: 45-64 years,45-64 years,17.8
2011,Male: American Indian or Alaska Native: 45-64 years,45-64 years,14.9
2012,Male: American Indian or Alaska Native: 45-64 years,45-64 years,19.1
2013,Male: American Indian or Alaska Native: 45-64 years,45-64 years,18.3
2014,Male: American Indian or Alaska Native: 45-64 years,45-64 years,15.1
2015,Male: American Indian or Alaska Native: 45-64 years,45-64 years,20.8
2016,Male: American Indian or Alaska Native: 45-64 years,45-64 years,19.8
2017,Male: American Indian or Alaska Native: 45-64 years,45-64 years,19.7
2014,Male: American Indian or Alaska Native: 65 years and over,65 years and over,13.4
2015,Male: American Indian or Alaska Native: 65 years and over,65 years and over,13.2
2016,Male: American Indian or Alaska Native: 65 years and over,65 years and over,11.8
2017,Male: American Indian or Alaska Native: 65 years and over,65 years and over,12.2
1980,Male: Asian or Pacific Islander: 15-24 years,15-24 years,10.8
1985,Male: Asian or Pacific Islander: 15-24 years,15-24 years,14.2
1988,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.5
1989,Male: Asian or Pacific Islander: 15-24 years,15-24 years,11.6
1990,Male: Asian or Pacific Islander: 15-24 years,15-24 years,13.5
1991,Male: Asian or Pacific Islander: 15-24 years,15-24 years,12.7
1992,Male: Asian or Pacific Islander: 15-24 years,15-24 years,13.3
1993,Male: Asian or Pacific Islander: 15-24 years,15-24 years,11.9
1994,Male: Asian or Pacific Islander: 15-24 years,15-24 years,13.9
1995,Male: Asian or Pacific Islander: 15-24 years,15-24 years,14.4
1996,Male: Asian or Pacific Islander: 15-24 years,15-24 years,10.9
1997,Male: Asian or Pacific Islander: 15-24 years,15-24 years,10.9
1998,Male: Asian or Pacific Islander: 15-24 years,15-24 years,9.7
1999,Male: Asian or Pacific Islander: 15-24 years,15-24 years,9.1
2000,Male: Asian or Pacific Islander: 15-24 years,15-24 years,9.1
2001,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.7
2002,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.1
2003,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.4
2004,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.5
2005,Male: Asian or Pacific Islander: 15-24 years,15-24 years,6.5
2006,Male: Asian or Pacific Islander: 15-24 years,15-24 years,10.6
2007,Male: Asian or Pacific Islander: 15-24 years,15-24 years,11.4
2008,Male: Asian or Pacific Islander: 15-24 years,15-24 years,7.1
2009,Male: Asian or Pacific Islander: 15-24 years,15-24 years,8.0
2010,Male: Asian or Pacific Islander: 15-24 years,15-24 years,10.9
2011,Male: Asian or Pacific Islander: 15-24 years,15-24 years,9.6
2012,Male: Asian or Pacific Islander: 15-24 years,15-24 years,9.7
2013,Male: Asian or Pacific Islander: 15-24 years,15-24 years,11.9
2014,Male: Asian or Pacific Islander: 15-24 years,15-24 years,12.9
2015,Male: Asian or Pacific Islander: 15-24 years,15-24 years,15.6
2016,Male: Asian or Pacific Islander: 15-24 years,15-24 years,16.3
2017,Male: Asian or Pacific Islander: 15-24 years,15-24 years,16.5
2018,Male: Asian or Pacific Islander: 15-24 years,15-24 years,15.5
1980,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.0
1985,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.3
1988,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.2
1989,Male: Asian or Pacific Islander: 25-44 years,25-44 years,8.6
1990,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.6
1991,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.1
1992,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.7
1993,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.8
1994,Male: Asian or Pacific Islander: 25-44 years,25-44 years,12.2
1995,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.8
1996,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.9
1997,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.9
1998,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.0
1999,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.8
2000,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.9
2001,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.2
2002,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.3
2003,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.3
2004,Male: Asian or Pacific Islander: 25-44 years,25-44 years,8.5
2005,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.6
2006,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.3
2007,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.7
2008,Male: Asian or Pacific Islander: 25-44 years,25-44 years,8.5
2009,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.7
2010,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.6
2011,Male: Asian or Pacific Islander: 25-44 years,25-44 years,10.6
2012,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.8
2013,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.9
2014,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.7
2015,Male: Asian or Pacific Islander: 25-44 years,25-44 years,9.6
2016,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.9
2017,Male: Asian or Pacific Islander: 25-44 years,25-44 years,11.3
2018,Male: Asian or Pacific Islander: 25-44 years,25-44 years,12.0
1980,Male: Asian or Pacific Islander: 45-64 years,45-64 years,13.0
1985,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.4
1988,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.7
1989,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.9
1990,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.7
1991,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.3
1992,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.1
1993,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.1
1994,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.8
1995,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.7
1996,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.4
1997,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.8
1998,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.8
1999,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.6
2000,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.7
2001,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.1
2002,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.1
2003,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.0
2004,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.1
2005,Male: Asian or Pacific Islander: 45-64 years,45-64 years,8.9
2006,Male: Asian or Pacific Islander: 45-64 years,45-64 years,9.7
2007,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.6
2008,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.9
2009,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.1
2010,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.8
2011,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.1
2012,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.3
2013,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.9
2014,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.1
2015,Male: Asian or Pacific Islander: 45-64 years,45-64 years,10.9
2016,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.8
2017,Male: Asian or Pacific Islander: 45-64 years,45-64 years,11.0
2018,Male: Asian or Pacific Islander: 45-64 years,45-64 years,12.2
1980,Male: Asian or Pacific Islander: 65 years and over,65 years and over,18.6
1985,Male: Asian or Pacific Islander: 65 years and over,65 years and over,16.7
1988,Male: Asian or Pacific Islander: 65 years and over,65 years and over,15.4
1989,Male: Asian or Pacific Islander: 65 years and over,65 years and over,19.2
1990,Male: Asian or Pacific Islander: 65 years and over,65 years and over,16.8
1991,Male: Asian or Pacific Islander: 65 years and over,65 years and over,20.1
1992,Male: Asian or Pacific Islander: 65 years and over,65 years and over,16.7
1993,Male: Asian or Pacific Islander: 65 years and over,65 years and over,18.4
1994,Male: Asian or Pacific Islander: 65 years and over,65 years and over,17.4
1995,Male: Asian or Pacific Islander: 65 years and over,65 years and over,18.9
1996,Male: Asian or Pacific Islander: 65 years and over,65 years and over,15.5
1997,Male: Asian or Pacific Islander: 65 years and over,65 years and over,20.0
1998,Male: Asian or Pacific Islander: 65 years and over,65 years and over,20.4
1999,Male: Asian or Pacific Islander: 65 years and over,65 years and over,13.4
2000,Male: Asian or Pacific Islander: 65 years and over,65 years and over,15.4
2001,Male: Asian or Pacific Islander: 65 years and over,65 years and over,18.4
2002,Male: Asian or Pacific Islander: 65 years and over,65 years and over,14.5
2003,Male: Asian or Pacific Islander: 65 years and over,65 years and over,17.7
2004,Male: Asian or Pacific Islander: 65 years and over,65 years and over,15.3
2005,Male: Asian or Pacific Islander: 65 years and over,65 years and over,11.2
2006,Male: Asian or Pacific Islander: 65 years and over,65 years and over,10.8
2007,Male: Asian or Pacific Islander: 65 years and over,65 years and over,13.1
2008,Male: Asian or Pacific Islander: 65 years and over,65 years and over,14.8
2009,Male: Asian or Pacific Islander: 65 years and over,65 years and over,15.3
2010,Male: Asian or Pacific Islander: 65 years and over,65 years and over,14.9
2011,Male: Asian or Pacific Islander: 65 years and over,65 years and over,13.3
2012,Male: Asian or Pacific Islander: 65 years and over,65 years and over,12.9
2013,Male: Asian or Pacific Islander: 65 years and over,65 years and over,10.9
2014,Male: Asian or Pacific Islander: 65 years and over,65 years and over,11.6
2015,Male: Asian or Pacific Islander: 65 years and over,65 years and over,12.6
2016,Male: Asian or Pacific Islander: 65 years and over,65 years and over,12.1
2017,Male: Asian or Pacific Islander: 65 years and over,65 years and over,12.5
2018,Male: Asian or Pacific Islander: 65 years and over,65 years and over,13.3
1950,Female: White: 15-24 years,15-24 years,2.7
1960,Female: White: 15-24 years,15-24 years,2.3
1970,Female: White: 15-24 years,15-24 years,4.2
1980,Female: White: 15-24 years,15-24 years,4.6
1981,Female: White: 15-24 years,15-24 years,4.9
1982,Female: White: 15-24 years,15-24 years,4.5
1983,Female: White: 15-24 years,15-24 years,4.5
1984,Female: White: 15-24 years,15-24 years,4.7
1985,Female: White: 15-24 years,15-24 years,4.7
1986,Female: White: 15-24 years,15-24 years,4.7
1987,Female: White: 15-24 years,15-24 years,4.6
1988,Female: White: 15-24 years,15-24 years,4.5
1989,Female: White: 15-24 years,15-24 years,4.3
1990,Female: White: 15-24 years,15-24 years,4.2
1991,Female: White: 15-24 years,15-24 years,4.2
1992,Female: White: 15-24 years,15-24 years,3.8
1993,Female: White: 15-24 years,15-24 years,4.3
1994,Female: White: 15-24 years,15-24 years,3.7
1995,Female: White: 15-24 years,15-24 years,3.8
1996,Female: White: 15-24 years,15-24 years,3.7
1997,Female: White: 15-24 years,15-24 years,3.6
1998,Female: White: 15-24 years,15-24 years,3.4
1999,Female: White: 15-24 years,15-24 years,3.2
2000,Female: White: 15-24 years,15-24 years,3.1
2001,Female: White: 15-24 years,15-24 years,3.1
2002,Female: White: 15-24 years,15-24 years,3.1
2003,Female: White: 15-24 years,15-24 years,3.1
2004,Female: White: 15-24 years,15-24 years,3.8
2005,Female: White: 15-24 years,15-24 years,3.7
2006,Female: White: 15-24 years,15-24 years,3.4
2007,Female: White: 15-24 years,15-24 years,3.4
2008,Female: White: 15-24 years,15-24 years,3.6
2009,Female: White: 15-24 years,15-24 years,3.8
2010,Female: White: 15-24 years,15-24 years,4.2
2011,Female: White: 15-24 years,15-24 years,4.4
2012,Female: White: 15-24 years,15-24 years,4.6
2013,Female: White: 15-24 years,15-24 years,5.0
